Date,Product,Barcode,Status,First-Name,Last-Name,Email,Phone-Number,Supervisor-First-Name,Supervisor-Last-Name,Supervisor-Email,Supervisor-Phone-Number,Title,Department,Charge-Number,Description
Sat Apr 08 2017 08:17:48 GMT-0700 (Pacific Daylight Time),keyboard,8827647389,checked in,ihuulh,iuhiuh,uihiuh,0, , , ,, , ,0,ihuulh iuhiuh checked in a keyboardihuulh
Sat Apr 08 2017 08:22:38 GMT-0700 (Pacific Daylight Time),keyboard,8827647389,checked out,asldkjf;l,kjlkjfekwjflk,jlkjelkfjwlkj,0, , , ,, , ,0,asldkjf;l kjlkjfekwjflk checked out a keyboard
Sat Apr 08 2017 08:24:21 GMT-0700 (Pacific Daylight Time),keyboard,8827647389,checked in,asldkjf;l,kjlkjfekwjflk,jlkjelkfjwlkj,0, , , ,, , ,0,asldkjf;l kjlkjfekwjflk checked in a keyboard
Sat Apr 08 2017 08:24:38 GMT-0700 (Pacific Daylight Time),keyboard,8827647389,checked out,asldkjf;l,kjlkjfekwjflk,jlkjelkfjwlkj,0, , , ,, , ,0,asldkjf;l kjlkjfekwjflk checked out a keyboard
Sat Apr 08 2017 08:25:19 GMT-0700 (Pacific Daylight Time),keyboard,8827647389,checked in,asldkjf;l,kjlkjfekwjflk,jlkjelkfjwlkj,0, , , ,, , ,0,asldkjf;l kjlkjfekwjflk checked in a keyboard
Sat Apr 08 2017 08:27:10 GMT-0700 (Pacific Daylight Time),keyboard,8827647389,checked out,ijlghbiug,bujkbiujb,uljhbiujg,0, , , ,, , ,0,ijlghbiug bujkbiujb checked out a keyboard
Sat Apr 08 2017 08:27:21 GMT-0700 (Pacific Daylight Time),keyboard,8827647389,checked in,ijlghbiug,bujkbiujb,uljhbiujg,0, , , ,, , ,0,ijlghbiug bujkbiujb checked in a keyboard
Sat Apr 08 2017 08:28:19 GMT-0700 (Pacific Daylight Time),keyboard,8827647389,checked out,hiujk,hiu,uihj,0, , , ,, , ,0,hiujk hiu checked out a keyboard
Sat Apr 08 2017 08:28:29 GMT-0700 (Pacific Daylight Time),keyboard,8827647389,checked in,hiujk,hiu,uihj,0, , , ,, , ,0,hiujk hiu checked in a keyboard
Sat Apr 08 2017 08:29:48 GMT-0700 (Pacific Daylight Time),keyboard,8827647389,checked out,hihku,hiuiu,hiuhi,0, , , ,, , ,0,hihku hiuiu checked out a keyboard
