Product,Barcode,Status,Date-Checked-Out,Date-Checked-In,First-Name,Last-Name,Email,Phone-Number,Supervisor-First-Name,Supervisor-Last-Name,Supervisor-Email,Supervisor-Phone-Number,Title,Department,Charge-Number
mouse,2222222222,true,,Tue May 16 2017 01:20:53 GMT-0700 (PDT), , , ,, , , ,, , ,
printer for lab,3333333333,true,,Tue May 16 2017 01:21:01 GMT-0700 (PDT), , , ,, , , ,, , ,
printer for lab,2222222223,true,,Tue May 16 2017 01:48:15 GMT-0700 (PDT), , , ,, , , ,, , ,
sas,3333333334,true,,Wed May 17 2017 22:36:03 GMT-0700 (PDT), , , ,, , , ,, , ,
printer,2222222226,true,,Wed May 17 2017 22:43:27 GMT-0700 (PDT),,,,,,,,,,,
mouse,2333333333,true,,Sat May 20 2017 18:45:41 GMT-0700 (PDT),,,,,,,,,,,
mouse,2222222224,true,,Sat May 20 2017 19:53:57 GMT-0700 (PDT),,,,,,,,,,,
dasdasd,2323232323,false,,Sun May 21 2017 11:55:09 GMT-0700 (PDT),navpreet,kaur,navpreet@hotmail.com,,,,,,,,
sasaasasa,3333333335,true,,Sun May 21 2017 12:07:14 GMT-0700 (PDT),,,,,,,,,,,
test,2345678765,true,,Wed May 24 2017 18:18:14 GMT-0700 (PDT),,,,,,,,,,,
